time,sin_theta,cos_theta,theta_dot,x,x_dot,u,sin_theta_next,cos_theta_next,theta_dot_next,x_next,x_dot_next
0,0,1,0,0,0,0,0,1,0,0,0
0.01,0,1,0,0,0,0,0,1,0,0,0
0.02,0,1,0,0,0,0,0,1,0,0,0
0.03,0,1,0,0,0,0,0,1,0,0,0
0.04,0,1,0,0,0,0,0,1,0,0,0
0.05,0,1,0,0,0,0,0,1,0,0,0
0.06,0,1,0,0,0,0,0,1,0,0,0
0.07,0,1,0,0,0,0,0,1,0,0,0
0.08,0,1,0,0,0,0,0,1,0,0,0
0.09,0,1,0,0,0,0,0,1,0,0,0
0.1,0,1,0,0,0,0,0,1,0,0,0
0.11,0,1,0,0,0,0,0,1,0,0,0
0.12,0,1,0,0,0,0,0,1,0,0,0
0.13,0,1,0,0,0,0,0,1,0,0,0
0.14,0,1,0,0,0,0,0,1,0,0,0
0.15,0,1,0,0,0,0,0,1,0,0,0
0.16,0,1,0,0,0,0,0,1,0,0,0
0.17,0,1,0,0,0,0,0,1,0,0,0
0.18,0,1,0,0,0,0,0,1,0,0,0
0.19,0,1,0,0,0,0,0,1,0,0,0
0.2,0,1,0,0,0,0,0,1,0,0,0
0.21,0,1,0,0,0,0,0,1,0,0,0
0.22,0,1,0,0,0,0,0,1,0,0,0
0.23,0,1,0,0,0,0,0,1,0,0,0
0.24,0,1,0,0,0,0,0,1,0,0,0
0.25,0,1,0,0,0,0,0,1,0,0,0
0.26,0,1,0,0,0,0,0,1,0,0,0
0.27,0,1,0,0,0,0,0,1,0,0,0
0.28,0,1,0,0,0,0,0,1,0,0,0
0.29,0,1,0,0,0,0,0,1,0,0,0
0.3,0,1,0,0,0,0,-6.33150912621444e-05,0.999999997995599,-0.0101382586213099,0.000110941396413285,0.00622553025790633
0.31,-6.33150912621444e-05,0.999999997995599,-0.0101382586213099,0.000110941396413285,0.00622553025790633,-0.143014839564595,-0.000171187536882778,0.999999985347413,-0.0095040314586369,-0.00117022565300995,-0.231972953405736
0.32,-0.000171187536882778,0.999999985347413,-0.0095040314586369,-0.00117022565300995,-0.231972953405736,-0.294250537291713,-0.000200627681804433,0.999999979874266,0.000631919071153076,-0.00636070450714574,-0.669985274013774
0.33,-0.000200627681804433,0.999999979874266,0.000631919071153076,-0.00636070450714574,-0.669985274013774,-0.255131382058552,-0.000147862583001088,0.999999989068328,0.00691144780626697,-0.0155277382184013,-1.04190981382886
0.34,-0.000147862583001088,0.999999989068328,0.00691144780626697,-0.0155277382184013,-1.04190981382886,-0.163871475374266,-7.83049343332015e-05,0.999999996934168,0.00677886920274015,-0.027388744594805,-1.25533344708369
0.35,-7.83049343332015e-05,0.999999996934168,0.00677886920274015,-0.027388744594805,-1.25533344708369,-0.173101211964873,-3.49554777735163e-06,0.99999999999389,0.00813029607682322,-0.0417119580928853,-1.50751338650413
0.36,-3.49554777735163e-06,0.99999999999389,0.00813029607682322,-0.0417119580928853,-1.50751338650413,-0.228394503040452,0.000113012272918172,0.999999993614113,0.0137381137700182,-0.0591023371161799,-1.86118191946747
0.37,0.000113012272918172,0.999999993614113,0.0137381137700182,-0.0591023371161799,-1.86118191946747,-0.234576378788905,0.000289333786529589,0.999999958142979,0.0194498243972951,-0.0800482032912427,-2.21470187060345
0.38,0.000289333786529589,0.999999958142979,0.0194498243972951,-0.0800482032912427,-2.21470187060345,-0.199162255771312,0.000504472411531031,0.999999872753785,0.0223753614348862,-0.10406799653149,-2.49513693585001
0.39,0.000504472411531031,0.999999872753785,0.0223753614348862,-0.10406799653149,-2.49513693585001,-0.184132624344093,0.000743714822672204,0.999999723444093,0.0247406194556609,-0.130837715203067,-2.76582917767739
0.4,0.000743714822672204,0.999999723444093,0.0247406194556609,-0.130837715203067,-2.76582917767739,-0.195679420475219,0.00101357603197931,0.999999486331682,0.0282078663983912,-0.160441945176682,-3.05808778803235
0.41,0.00101357603197931,0.999999486331682,0.0282078663983912,-0.160441945176682,-3.05808778803235,-0.199785306605059,0.00132252180010755,0.999999125467661,0.0321805918388273,-0.193081790286468,-3.3652689197221
0.42,0.00132252180010755,0.999999125467661,0.0321805918388273,-0.193081790286468,-3.3652689197221,-0.185473539924995,0.00166458954263479,0.999998614569867,0.0351332902302295,-0.228572025649053,-3.64064488417838
0.43,0.00166458954263479,0.999998614569867,0.0351332902302295,-0.228572025649053,-3.64064488417838,-0.17134003457674,0.00203090345384982,0.999997937713454,0.037382399606751,-0.266664077933763,-3.89604225149121
0.44,0.00203090345384982,0.999997937713454,0.037382399606751,-0.266664077933763,-3.89604225149121,-0.167185435316426,0.00242052979925185,0.999997070513454,0.0397527473712006,-0.307380831479636,-4.15650591820926
0.45,0.00242052979925185,0.999997070513454,0.0397527473712006,-0.307380831479636,-4.15650591820926,-0.164685628767788,0.00283430105882518,0.999995983360687,0.0421838500775066,-0.350642438728886,-4.41104071837685
0.46,0.00283430105882518,0.999995983360687,0.0421838500775066,-0.350642438728886,-4.41104071837685,-0.156213465192966,0.00327049463054607,0.999994651918135,0.0443119301295604,-0.396384339915509,-4.6577026084285
0.47,0.00327049463054607,0.999994651918135,0.0443119301295604,-0.396384339915509,-4.6577026084285,-0.145289664932628,0.00372482088867377,0.999993062830611,0.0459631543216083,-0.444486557768391,-4.88616810934448
0.48,0.00372482088867377,0.999993062830611,0.0459631543216083,-0.444486557768391,-4.88616810934448,-0.137168542276411,0.00419434616990044,0.999991203691416,0.0474336465140339,-0.494839521275656,-5.10844434277223
0.49,0.00419434616990044,0.999991203691416,0.0474336465140339,-0.494839521275656,-5.10844434277223,-0.130908350175126,0.00467796726284244,0.999989058251283,0.0488214334383441,-0.54735512257453,-5.32314716318149
0.5,0.00467796726284244,0.999989058251283,0.0488214334383441,-0.54735512257453,-5.32314716318149,-0.123306266375792,0.00517467540518778,0.999986611277596,0.0500687349475664,-0.602009119538211,-5.53563282235222
0.51,0.00517467540518778,0.999986611277596,0.0500687349475664,-0.602009119538211,-5.53563282235222,-0.114239519323045,0.00568190262416943,0.999983857861,0.0510324248752016,-0.658683889687714,-5.73416534950993
0.52,0.00568190262416943,0.999983857861,0.0510324248752016,-0.658683889687714,-5.73416534950993,-0.105697737919358,0.00619730060076477,0.999980796548245,0.0517874271227445,-0.717261895651408,-5.9208915959227
0.53,0.00619730060076477,0.999980796548245,0.0517874271227445,-0.717261895651408,-5.9208915959227,-0.0981206966270082,0.00671949799109904,0.999977423918534,0.0524458400637214,-0.777679746225862,-6.10770175507631
0.54,0.00671949799109904,0.999977423918534,0.0524458400637214,-0.777679746225862,-6.10770175507631,-0.0905012996273373,0.00724727254398391,0.999973738175495,0.0529345940671816,-0.839861916983913,-6.27421729225984
0.55,0.00724727254398391,0.999973738175495,0.0529345940671816,-0.839861916983913,-6.27421729225984,-0.0823772609139068,0.00777910807235106,0.999969742281034,0.0532915967605179,-0.903719785023668,-6.44085320900721
0.56,0.00777910807235106,0.999969742281034,0.0532915967605179,-0.903719785023668,-6.44085320900721,-0.0742744333663274,0.00831347490047705,0.999965442470428,0.0534943355718658,-0.969180430238346,-6.59512200101076
